??/?????/???,???????,CO,O3,NO2,SO2,PM10,Rel hum,Temp,Wind dir,Wind speed,PM2.5
,,at 3 m (ppm),at 3 m (ppb),at 3 m (ppb),at 3 m (ppb),at 3 m (???./??.?.),at 2 m (%RH),at 2 m ,at 10 m (Deg.M),at 10 m (m/s),at 3 m (???./??.?.)
170116,2400,-,-,-,-,-,-,-,-,-,
170117,100,-,-,-,-,-,-,-,-,-,
170117,200,-,-,-,-,-,-,-,-,-,
170117,300,-,-,-,-,-,-,-,-,-,
170117,400,-,-,-,-,-,-,-,-,-,
170117,500,-,-,-,-,-,-,-,-,-,
170117,600,-,-,-,-,-,-,-,-,-,
170117,700,-,-,-,-,-,-,-,-,-,
170117,800,-,-,-,-,-,-,-,-,-,
170117,900,-,-,-,-,-,-,-,-,-,
170117,1000,-,-,-,-,-,-,-,-,-,
170117,1100,-,-,-,-,-,-,-,-,-,
170117,1200,-,-,-,-,-,-,-,-,-,
170117,1300,-,-,-,-,-,-,-,-,-,
170117,1400,-,-,-,-,-,-,-,-,-,
170117,1500,-,-,-,-,-,-,-,-,-,
170117,1600,-,-,-,-,-,-,-,-,-,
170117,1700,-,-,-,-,-,-,-,-,-,
170117,1800,-,-,-,-,-,-,-,-,-,
170117,1900,-,-,-,-,-,-,-,-,-,
170117,2000,-,-,-,-,-,-,-,-,-,
170117,2100,-,-,-,-,-,-,-,-,-,
170117,2200,-,-,-,-,-,-,-,-,-,
170117,2300,-,-,-,-,-,-,-,-,-,
170117,2400,-,-,-,-,-,-,-,-,-,
170118,100,-,-,-,-,-,-,-,-,-,
170118,200,-,-,-,-,-,-,-,-,-,
170118,300,-,-,-,-,-,-,-,-,-,
170118,400,-,-,-,-,-,-,-,-,-,
170118,500,-,-,-,-,-,-,-,-,-,
170118,600,-,-,-,-,-,-,-,-,-,
170118,700,-,-,-,-,-,-,-,-,-,
170118,800,-,-,-,-,-,-,-,-,-,
170118,900,-,-,-,-,-,-,-,-,-,
170118,1000,-,-,-,-,-,-,-,-,-,
170118,1100,-,-,-,-,-,-,-,-,-,
170118,1200,-,-,-,-,-,-,-,-,-,
170118,1300,-,-,-,-,-,-,-,-,-,
170118,1400,-,-,-,-,-,-,-,-,-,
170118,1500,-,-,-,-,-,-,-,-,-,
170118,1600,-,-,-,-,-,-,-,-,-,
170118,1700,-,-,-,-,-,-,-,-,-,
170118,1800,-,-,-,-,-,-,-,-,-,
170118,1900,-,-,-,-,-,-,-,-,-,
170118,2000,-,-,-,-,-,-,-,-,-,
170118,2100,-,-,-,-,-,-,-,-,-,
170118,2200,-,-,-,-,-,-,-,-,-,
170118,2300,-,-,-,-,-,-,-,-,-,
170118,2400,-,-,-,-,-,-,-,-,-,
170119,100,-,-,-,-,-,-,-,-,-,
170119,200,-,-,-,-,-,-,-,-,-,
170119,300,-,-,-,-,-,-,-,-,-,
170119,400,-,-,-,-,-,-,-,-,-,
170119,500,-,-,-,-,-,-,-,-,-,
170119,600,-,-,-,-,-,-,-,-,-,
170119,700,-,-,-,-,-,-,-,-,-,
170119,800,-,-,-,-,-,-,-,-,-,
170119,900,-,-,-,-,-,-,-,-,-,
170119,1000,-,-,-,-,-,-,-,-,-,
170119,1100,-,-,-,-,-,-,-,-,-,
170119,1200,-,-,-,-,-,-,-,-,-,
170119,1300,-,-,-,-,-,-,-,-,-,
170119,1400,-,-,-,-,-,-,-,-,-,
170119,1500,-,-,-,-,-,-,-,-,-,
170119,1600,-,-,-,-,-,-,-,-,-,
170119,1700,-,-,-,-,-,-,-,-,-,
170119,1800,-,-,-,-,-,-,-,-,-,
170119,1900,-,-,-,-,-,-,-,-,-,
170119,2000,-,-,-,-,-,-,-,-,-,
170119,2100,-,-,-,-,-,-,-,-,-,
170119,2200,-,-,-,-,-,-,-,-,-,
170119,2300,-,-,-,-,-,-,-,-,-,
170119,2400,-,-,-,-,-,-,-,-,-,
170120,100,-,-,-,-,-,-,-,-,-,
170120,200,-,-,-,-,-,-,-,-,-,
170120,300,-,-,-,-,-,-,-,-,-,
170120,400,-,-,-,-,-,-,-,-,-,
